strategy,tool,state,n,ev,evR,wr,pf,medR,aw,al,mfe,mae,ratio,ff25,stop,tmfe,reach,maxw,maxl,winMFE,winMFE95
A2_OFH14,RANGE,HIGH,116,11.278706896551752,0.47431451733688124,20.689655172413794,1.7236178403132716,-1.0467135135135135,129.84875000000005,-19.652608695652134,2.256482052754395,1.7874770851947819,1.2623837650531367,46.666666666666664,75.86206896551724,29.0,"{0.25: 50.0, 0.5: 46.55172413793103, 1: 35.3448275862069, 1.5: 28.448275862068964, 2: 25.0, 3: 22.413793103448278, 4: 18.96551724137931, 5: 15.517241379310345}",284.88,-93.87,5.720642797104567,12.126111560226354
A2_OFH14,VOLUME,LOW,40,-2.1450000000000005,-0.4969673286240619,12.5,0.7156115346370565,-1.1199999999999999,43.17999999999999,-8.620000000000001,3.1339009641600537,1.971482236183283,1.5896166380008427,53.125,87.5,40.0,"{0.25: 62.5, 0.5: 55.0, 1: 42.5, 1.5: 27.5, 2: 20.0, 3: 15.0, 4: 12.5, 5: 7.5}",102.88,-26.12,4.537585421412301,nan
A2_OFH14,VOLUME,MEDIUM,133,-1.1500751879699267,0.024720542941435667,11.278195488721805,0.9011509554675255,-1.0725,92.96333333333335,-13.113644067796578,2.2739291380222104,2.6718547341115437,0.8510676531141379,48.03921568627451,87.96992481203007,31,"{0.25: 62.40601503759399, 0.5: 53.38345864661654, 1: 42.10526315789474, 1.5: 31.57894736842105, 2: 27.81954887218045, 3: 18.045112781954888, 4: 15.037593984962406, 5: 13.533834586466165}",245.63,-45.87,7.482806052269601,nan
A2_OFH14,VOLUME,HIGH,286,3.953426573426633,0.12307910272842479,15.734265734265735,1.2617969307141663,-1.0539567307692308,121.1022222222223,-17.920829875518592,2.4219993935583295,2.258871080467098,1.0722167433554903,44.09448818897638,83.21678321678321,29.0,"{0.25: 51.74825174825175, 0.5: 44.75524475524475, 1: 36.01398601398601, 1.5: 28.67132867132867, 2: 24.825174825174827, 3: 20.97902097902098, 4: 16.083916083916083, 5: 12.237762237762238}",574.63,-93.87,5.428907168037603,12.126111560226354
A3_SWEEP_RECLAIM,RANGE,LOW,132,-2.0879450757575726,-0.017975076437804126,20.454545454545453,0.8358121818906195,-1.0535361103385121,51.96333333333336,-15.986845238095198,2.555020225849153,2.766377563185503,0.9235977980196707,58.65384615384615,78.78787878787878,28.5,"{0.25: 72.72727272727273, 0.5: 57.57575757575758, 1: 39.39393939393939, 1.5: 33.333333333333336, 2: 28.03030303030303, 3: 16.666666666666668, 4: 11.363636363636363, 5: 9.848484848484848}",207.88,-42.32624999999927,5.79020979020979,23.350785340314136
A3_SWEEP_RECLAIM,RANGE,MEDIUM,186,4.6595362903225865,0.15715262585212877,28.49462365591398,1.2933187746877592,-1.033980231579061,72.10169811320762,-22.215911654135297,3.0081914288299645,2.41661354494098,1.244796229470539,55.118110236220474,70.43010752688173,28.0,"{0.25: 77.95698924731182, 0.5: 62.903225806451616, 1: 50.0, 1.5: 38.70967741935484, 2: 28.49462365591398, 3: 20.43010752688172, 4: 10.21505376344086, 5: 4.838709677419355}",486.63,-53.78249999999854,5.422612513721186,17.070524412296564
A3_SWEEP_RECLAIM,RANGE,HIGH,262,2.609770992366384,0.10705751607321744,19.84732824427481,1.1242070844686676,-1.032837999263736,119.01461538461545,-26.214285714285666,3.6951316839584996,3.34798418972332,1.1036885106270076,57.95454545454545,80.1526717557252,25.5,"{0.25: 69.08396946564885, 0.5: 61.45038167938932, 1: 45.80152671755725, 1.5: 36.25954198473283, 2: 27.862595419847327, 3: 17.557251908396946, 4: 15.267175572519085, 5: 13.358778625954198}",386.63,-54.476250000000725,8.569162843470968,20.1294033069734
A3_SWEEP_RECLAIM,VOLUME,LOW,57,3.4239692982455234,0.22559019661106733,24.56140350877193,1.3626589055636849,-1.0668587896253565,52.379999999999995,-12.515203488372213,2.5382262996941893,2.3001949317738792,1.1034831285958637,56.52173913043478,73.6842105263158,26,"{0.25: 71.9298245614035, 0.5: 56.14035087719298, 1: 40.35087719298246, 1.5: 36.8421052631579, 2: 31.57894736842105, 3: 22.80701754385965, 4: 10.526315789473685, 5: 8.771929824561404}",176.63,-29.72625000000073,5.698777211489076,nan
A3_SWEEP_RECLAIM,VOLUME,MEDIUM,135,1.66407407407406,0.08085794201173196,25.925925925925927,1.1210627004014788,-1.041726618705039,59.4371428571429,-18.556499999999975,2.818428184281843,2.314814814814815,1.217560975609756,57.69230769230769,73.33333333333333,31,"{0.25: 75.55555555555556, 0.5: 61.48148148148148, 1: 48.148148148148145, 1.5: 38.51851851851852, 2: 30.37037037037037, 3: 18.51851851851852, 4: 10.37037037037037, 5: 7.407407407407407}",207.88,-53.78249999999854,5.056053811659193,21.06741573033708
A3_SWEEP_RECLAIM,VOLUME,HIGH,388,2.2036307989690886,0.08023784575122199,21.391752577319586,1.1104016140421709,-1.0329664560706375,103.60891566265066,-25.39190573770484,3.4996864574710913,3.0966419601327173,1.1301553432806615,57.19844357976654,78.35051546391753,25.0,"{0.25: 71.90721649484536, 0.5: 61.597938144329895, 1: 45.618556701030926, 1.5: 35.56701030927835, 2: 26.804123711340207, 3: 17.52577319587629, 4: 13.917525773195877, 5: 10.824742268041238}",486.63,-54.476250000000725,6.8125701459034795,19.502487562189053
